gid,role,role_score,cluster_id,priority_score,evidence
100000008346837100,consolidator,0.957842,13,0.937038,Признаки консолидации. Вход 9: 254359.00 KZT; выход 25: 1258643.00 KZT; seed-путей 6.
100000003684369100,consolidator,0.650000,3,0.923032,Признаки консолидации. Вход 24: 3848436.00 KZT; выход 62: 8588655.00 KZT; seed-путей 6.
100000008165763100,consolidator,0.995014,3,0.914831,Признаки консолидации. Вход 15: 1165815.00 KZT; выход 17: 1267858.00 KZT; seed-путей 6.
100000008603629100,consolidator,0.997507,4,0.900893,Признаки консолидации. Вход 19: 1817300.00 KZT; выход 61: 4986156.00 KZT; seed-путей 4.
100000008710791100,distributor,0.995965,9,0.898815,Признаки распределения. Вход 3: 181510.00 KZT; выход 23: 5521511.00 KZT; seed-путей 5.
100000003115284100,consolidator,0.998413,12,0.896951,Признаки консолидации. Вход 8: 2160500.00 KZT; выход 2: 517000.00 KZT; seed-путей 9.
100000000331309100,distributor,1.000000,6,0.891791,Признаки распределения. Вход 5: 984635.00 KZT; выход 99: 23001375.00 KZT; seed-путей 4.
100000005910114100,distributor,0.932536,1,0.889248,Признаки распределения. Вход 3: 326144.00 KZT; выход 19: 1469993.00 KZT; seed-путей 4.
100000008512827100,distributor,0.675216,14,0.886795,Признаки распределения. Вход 3: 107949.00 KZT; выход 10: 1944500.00 KZT; seed-путей 5.
100000007908818100,consolidator,0.764461,4,0.886380,Признаки консолидации. Вход 4: 727475.00 KZT; выход 6: 302000.00 KZT; seed-путей 8.
100000001530983100,consolidator,0.759927,5,0.874818,Признаки консолидации. Вход 4: 564158.00 KZT; выход 11: 1829538.00 KZT; seed-путей 5.
100000000343175100,distributor,0.650000,12,0.873713,Признаки распределения. Вход 8: 178712.00 KZT; выход 31: 4000039.00 KZT; seed-путей 4.
100000000437046100,distributor,0.997118,1,0.872789,Признаки распределения. Вход 9: 1107200.00 KZT; выход 42: 7606224.00 KZT; seed-путей 4.
100000005527892100,coordinator,0.550000,18,0.871598,Структурный кандидат на координацию. Вход 3: 220001.00 KZT; выход 8: 552419.00 KZT; seed-путей 4.
100000008743913100,distributor,0.762334,18,0.870159,Признаки распределения. Вход 3: 149300.00 KZT; выход 13: 1850600.00 KZT; seed-путей 6.
100000002957787100,distributor,0.955043,1,0.868555,Признаки распределения. Вход 4: 84956.00 KZT; выход 34: 1276153.96 KZT; seed-путей 4.
100000005074393100,consolidator,0.759814,13,0.860489,Признаки консолидации. Вход 4: 563026.00 KZT; выход 6: 685500.00 KZT; seed-путей 6.
100000008477350100,distributor,0.987896,1,0.855126,Признаки распределения. Вход 11: 610100.00 KZT; выход 39: 3374866.00 KZT; seed-путей 3.
100000006866783100,consolidator,0.650000,1,0.850399,Признаки консолидации. Вход 13: 838812.00 KZT; выход 67: 3948037.00 KZT; seed-путей 3.
100000004156082100,distributor,0.979251,16,0.846987,Признаки распределения. Вход 5: 377366.11 KZT; выход 26: 2319556.00 KZT; seed-путей 4.
100000007442518100,consolidator,0.813911,30,0.841726,Признаки консолидации. Вход 5: 510000.00 KZT; выход 9: 4419999.00 KZT; seed-путей 4.
100000004351795100,distributor,0.789452,1,0.837939,Признаки распределения. Вход 3: 118333.00 KZT; выход 14: 1715161.00 KZT; seed-путей 3.
100000008489922100,distributor,0.989049,9,0.834205,Признаки распределения. Вход 3: 262010.00 KZT; выход 36: 3789900.00 KZT; seed-путей 3.
100000001857829100,consolidator,0.879907,4,0.833422,Признаки консолидации. Вход 6: 888535.00 KZT; выход 16: 2390993.00 KZT; seed-путей 3.
100000008710843100,distributor,0.765793,18,0.831898,Признаки распределения. Вход 2: 33944.00 KZT; выход 13: 1985500.00 KZT; seed-путей 3.
100000008304139100,distributor,0.968876,3,0.831163,Признаки распределения. Вход 4: 189329.75 KZT; выход 24: 1692997.00 KZT; seed-путей 2.
100000008547844100,distributor,0.946369,10,0.830797,Признаки распределения. Вход 3: 177600.00 KZT; выход 19: 2042199.00 KZT; seed-путей 3.
100000008547948100,distributor,0.994813,9,0.825820,Признаки распределения. Вход 6: 212665.00 KZT; выход 26: 5185600.00 KZT; seed-путей 3.
100000003016635100,distributor,0.650000,5,0.822750,Признаки распределения. Вход 8: 586981.00 KZT; выход 73: 9414081.00 KZT; seed-путей 3.
100000008686313100,consolidator,0.885347,1,0.822407,Признаки консолидации. Вход 6: 1912716.00 KZT; выход 7: 333800.00 KZT; seed-путей 3.
100000004997515100,consolidator,0.748368,9,0.820293,Признаки консолидации. Вход 4: 395000.00 KZT; выход 4: 54500.00 KZT; seed-путей 5.
100000001616816100,consolidator,0.650000,7,0.816098,Признаки консолидации. Вход 5: 176195.00 KZT; выход 3: 181326.00 KZT; seed-путей 7.
100000004403675100,coordinator,0.550000,20,0.814551,Структурный кандидат на координацию. Вход 4: 182980.00 KZT; выход 5: 264699.00 KZT; seed-путей 3.
100000003635170100,transit,0.804980,12,0.813363,Признаки транзита. Вход 3: 268500.00 KZT; выход 4: 253500.00 KZT; seed-путей 5.
100000004400305100,distributor,0.996542,1,0.812392,Признаки распределения. Вход 7: 222800.00 KZT; выход 82: 5830181.00 KZT; seed-путей 2.
100000008733194100,consolidator,0.732616,13,0.810583,Признаки консолидации. Вход 4: 251424.00 KZT; выход 8: 159695.00 KZT; seed-путей 4.
100000008730846100,consolidator,0.878360,12,0.810235,Признаки консолидации. Вход 7: 155042.00 KZT; выход 3: 363370.00 KZT; seed-путей 4.
100000007593823100,coordinator,0.550000,1,0.805100,Структурный кандидат на координацию. Вход 3: 25000.00 KZT; выход 13: 162900.00 KZT; seed-путей 4.
100000003242289100,distributor,0.980980,17,0.804671,Признаки распределения. Вход 3: 550791.00 KZT; выход 23: 2377741.00 KZT; seed-путей 3.
100000004070318100,distributor,0.890461,1,0.803692,Признаки распределения. Вход 4: 207246.55 KZT; выход 19: 551860.00 KZT; seed-путей 2.
100000005782781100,consolidator,0.826643,7,0.803568,Признаки консолидации. Вход 6: 171888.00 KZT; выход 10: 1263597.00 KZT; seed-путей 3.
100000008465789100,distributor,0.852911,10,0.802981,Признаки распределения. Вход 1: 30099.00 KZT; выход 16: 1858100.00 KZT; seed-путей 3.
100000006889963100,consolidator,0.771487,6,0.796391,Признаки консолидации. Вход 4: 1431000.00 KZT; выход 1: 443475.80 KZT; seed-путей 9.
100000001899164100,consolidator,0.737942,11,0.794617,Признаки консолидации. Вход 4: 291675.00 KZT; выход 3: 76500.00 KZT; seed-путей 5.
100000005287097100,distributor,0.601988,5,0.794076,Признаки распределения. Вход 2: 127173.00 KZT; выход 9: 697300.00 KZT; seed-путей 3.
100000008752616100,distributor,0.563890,9,0.788873,Признаки распределения. Вход 2: 64510.00 KZT; выход 7: 1265000.00 KZT; seed-путей 4.
100000003701161100,consolidator,0.771827,22,0.788328,Признаки консолидации. Вход 4: 1527103.00 KZT; выход 3: 349000.00 KZT; seed-путей 3.
100000004847758100,distributor,0.762968,3,0.788152,Признаки распределения. Вход 4: 115171.00 KZT; выход 15: 488800.00 KZT; seed-путей 2.
100000005933757100,distributor,0.985014,15,0.787064,Признаки распределения. Вход 4: 1246000.00 KZT; выход 34: 3002628.00 KZT; seed-путей 2.
100000005048668100,coordinator,0.550000,4,0.786558,Структурный кандидат на координацию. Вход 2: 16668.00 KZT; выход 8: 159400.00 KZT; seed-путей 4.
100000002723538100,distributor,0.682190,4,0.785561,Признаки распределения. Вход 3: 105647.00 KZT; выход 12: 560499.00 KZT; seed-путей 2.
100000005514161100,consolidator,0.749275,7,0.782684,Признаки консолидации. Вход 4: 401500.00 KZT; выход 1: 50000.00 KZT; seed-путей 6.
100000008466579100,distributor,0.884640,10,0.782201,Признаки распределения. Вход 2: 36952.00 KZT; выход 17: 1933000.00 KZT; seed-путей 2.
100000005704413100,distributor,0.957925,8,0.781915,Признаки распределения. Вход 3: 97834.67 KZT; выход 32: 1363593.00 KZT; seed-путей 2.
100000008111003100,consolidator,0.838996,1,0.781055,Признаки консолидации. Вход 6: 222716.00 KZT; выход 1: 35000.00 KZT; seed-путей 3.
100000003265158100,transit,0.718731,11,0.779353,Признаки транзита. Вход 3: 146100.40 KZT; выход 2: 154200.00 KZT; seed-путей 4.
100000008637537100,consolidator,0.650000,10,0.775407,Признаки консолидации. Вход 3: 619890.00 KZT; выход 3: 2351495.00 KZT; seed-путей 4.
100000008758168100,distributor,0.515994,18,0.774565,Признаки распределения. Вход 2: 75410.00 KZT; выход 5: 1533600.00 KZT; seed-путей 5.
100000003809101100,peripheral,0.200000,12,0.773588,Нет специфической роли. Вход 2: 166050.00 KZT; выход 2: 55200.00 KZT; seed-путей 5.
100000001937767100,peripheral,0.200000,15,0.773033,Нет специфической роли. Вход 1: 53000.00 KZT; выход 4: 1933000.00 KZT; seed-путей 5.
100000003747133100,consolidator,0.785806,45,0.772980,Признаки консолидации. Вход 5: 237068.00 KZT; выход 2: 250000.00 KZT; seed-путей 3.
100000007639767100,distributor,0.638329,1,0.772092,Признаки распределения. Вход 4: 90913.00 KZT; выход 10: 822244.00 KZT; seed-путей 2.
100000004015047100,consolidator,0.992860,7,0.768376,Признаки консолидации. Вход 9: 919104.00 KZT; выход 1: 69195.00 KZT; seed-путей 8.
100000000661912100,consolidator,0.704165,4,0.767774,Признаки консолидации. Вход 5: 393036.00 KZT; выход 2: 430700.00 KZT; seed-путей 2.
100000004150593100,distributor,0.670058,5,0.767615,Признаки распределения. Вход 1: 57000.00 KZT; выход 11: 871165.00 KZT; seed-путей 3.
100000008731444100,consolidator,0.695405,1,0.767024,Признаки консолидации. Вход 3: 439000.00 KZT; выход 9: 879767.80 KZT; seed-путей 3.
100000008517538100,distributor,0.871383,9,0.765000,Признаки распределения. Вход 3: 155500.00 KZT; выход 17: 1439000.00 KZT; seed-путей 2.
100000008748914100,distributor,0.783084,3,0.764235,Признаки распределения. Вход 2: 180000.00 KZT; выход 13: 4471847.00 KZT; seed-путей 1.
100000005339662100,consolidator,0.723549,16,0.762731,Признаки консолидации. Вход 4: 202939.00 KZT; выход 4: 295160.00 KZT; seed-путей 3.
100000006734214100,consolidator,0.818331,6,0.762162,Признаки консолидации. Вход 5: 610000.00 KZT; выход 3: 36000.00 KZT; seed-путей 3.
100000005382566100,consolidator,0.650000,20,0.761879,Признаки консолидации. Вход 7: 393066.00 KZT; выход 1: 50000.00 KZT; seed-путей 11.
100000005578559100,distributor,0.942363,8,0.758806,Признаки распределения. Вход 2: 131000.00 KZT; выход 21: 893163.67 KZT; seed-путей 2.
100000008413748100,distributor,0.899078,17,0.758023,Признаки распределения. Вход 2: 26480.00 KZT; выход 18: 1377320.22 KZT; seed-путей 2.
100000002241986100,distributor,0.565591,38,0.756520,Признаки распределения. Вход 1: 280000.00 KZT; выход 6: 3077000.00 KZT; seed-путей 3.
100000003071930100,consolidator,0.698124,9,0.755727,Признаки консолидации. Вход 3: 477610.00 KZT; выход 1: 5000.00 KZT; seed-путей 5.
100000004759121100,consolidator,0.876281,1,0.755715,Признаки консолидации. Вход 6: 710000.00 KZT; выход 2: 312000.00 KZT; seed-путей 3.
100000003796063100,distributor,0.794092,6,0.755044,Признаки распределения. Вход 1: 35000.00 KZT; выход 15: 959150.00 KZT; seed-путей 1.
100000004906181100,distributor,0.592133,35,0.754393,Признаки распределения. Вход 1: 100000.00 KZT; выход 7: 2473417.91 KZT; seed-путей 3.
100000006788200100,consolidator,0.735222,7,0.753929,Признаки консолидации. Вход 4: 272155.80 KZT; выход 3: 64500.00 KZT; seed-путей 3.
100000006424479100,peripheral,0.200000,13,0.752202,Нет специфической роли. Вход 1: 500000.00 KZT; выход 2: 220000.00 KZT; seed-путей 5.
100000003880331100,distributor,0.869625,4,0.750673,Признаки распределения. Вход 1: 100000.00 KZT; выход 16: 3904908.00 KZT; seed-путей 1.
100000005665181100,consolidator,0.640027,6,0.748903,Признаки консолидации. Вход 4: 45498.00 KZT; выход 11: 181915.00 KZT; seed-путей 3.
100000002741024100,consolidator,0.822750,1,0.748760,Признаки консолидации. Вход 5: 817980.85 KZT; выход 6: 434989.00 KZT; seed-путей 3.
100000004679953100,consolidator,0.587132,4,0.748698,Признаки консолидации. Вход 3: 343538.00 KZT; выход 3: 34100.00 KZT; seed-путей 2.
100000000332284100,consolidator,0.917384,6,0.747462,Признаки консолидации. Вход 10: 107426.00 KZT; выход 3: 289500.00 KZT; seed-путей 3.
100000008746449100,distributor,0.647550,9,0.744848,Признаки распределения. Вход 1: 10000.00 KZT; выход 10: 1009000.00 KZT; seed-путей 3.
100000006707582100,distributor,0.764669,8,0.744778,Признаки распределения. Вход 2: 39520.00 KZT; выход 14: 961138.00 KZT; seed-путей 1.
100000005612411100,consolidator,0.639648,3,0.744003,Признаки консолидации. Вход 3: 115500.00 KZT; выход 8: 506997.00 KZT; seed-путей 3.
100000004390333100,distributor,0.584121,1,0.741412,Признаки распределения. Вход 2: 64558.00 KZT; выход 9: 506500.00 KZT; seed-путей 2.
100000005473151100,consolidator,0.614217,8,0.739695,Признаки консолидации. Вход 3: 1220000.00 KZT; выход 4: 225000.00 KZT; seed-путей 2.
100000007777377100,peripheral,0.200000,5,0.738757,Нет специфической роли. Вход 1: 456290.00 KZT; выход 2: 10000.00 KZT; seed-путей 4.
100000004159526100,consolidator,0.735562,15,0.737671,Признаки консолидации. Вход 4: 275037.00 KZT; выход 4: 68000.00 KZT; seed-путей 3.
100000008636603100,coordinator,0.550000,5,0.736950,Структурный кандидат на координацию. Вход 2: 35460.00 KZT; выход 6: 159375.00 KZT; seed-путей 2.
100000004569484100,coordinator,0.550000,8,0.736822,Структурный кандидат на координацию. Вход 2: 98312.00 KZT; выход 4: 156000.00 KZT; seed-путей 2.
100000007594394100,consolidator,0.860981,19,0.733386,Признаки консолидации. Вход 6: 395385.00 KZT; выход 1: 3376312.00 KZT; seed-путей 4.
100000003390036100,peripheral,0.200000,12,0.731244,Нет специфической роли. Вход 2: 231300.00 KZT; выход 2: 62000.00 KZT; seed-путей 9.
100000004188160100,distributor,0.374784,5,0.730986,Признаки распределения. Вход 2: 87862.00 KZT; выход 5: 133846.00 KZT; seed-путей 3.
100000003159641100,consolidator,0.663713,16,0.730549,Признаки консолидации. Вход 4: 64000.00 KZT; выход 1: 197800.00 KZT; seed-путей 4.
100000008258083100,peripheral,0.200000,30,0.730463,Нет специфической роли. Вход 2: 3149500.00 KZT; выход 2: 2045650.00 KZT; seed-путей 3.
100000007138613100,consolidator,0.712290,1,0.730374,Признаки консолидации. Вход 3: 1002000.00 KZT; выход 2: 179000.00 KZT; seed-путей 3.
100000008490127100,distributor,0.523516,6,0.728982,Признаки распределения. Вход 1: 431755.00 KZT; выход 6: 923000.00 KZT; seed-путей 3.
100000008512552100,consolidator,0.648255,17,0.728657,Признаки консолидации. Вход 4: 394360.00 KZT; выход 6: 1302275.00 KZT; seed-путей 2.
100000002838861100,consolidator,0.815724,9,0.728241,Признаки консолидации. Вход 5: 554523.95 KZT; выход 1: 10000.00 KZT; seed-путей 4.
100000008461532100,distributor,0.622709,26,0.727874,Признаки распределения. Вход 2: 565300.00 KZT; выход 8: 2530090.00 KZT; seed-путей 2.
100000002748532100,consolidator,0.688605,18,0.726204,Признаки консолидации. Вход 3: 355575.00 KZT; выход 2: 646685.00 KZT; seed-путей 4.
100000006225798100,consolidator,0.707984,17,0.724245,Признаки консолидации. Вход 3: 722000.00 KZT; выход 2: 26300.00 KZT; seed-путей 3.
100000000413678100,peripheral,0.200000,4,0.723839,Нет специфической роли. Вход 2: 306500.00 KZT; выход 3: 528198.00 KZT; seed-путей 3.
100000008742053100,distributor,0.743285,14,0.720679,Признаки распределения. Вход 1: 10000.00 KZT; выход 12: 2789000.00 KZT; seed-путей 2.
100000006518161100,transit,0.917602,5,0.719509,Признаки транзита. Вход 3: 594200.00 KZT; выход 2: 595899.00 KZT; seed-путей 3.
100000006977207100,distributor,0.841354,4,0.718650,Признаки распределения. Вход 1: 414000.00 KZT; выход 15: 4157018.00 KZT; seed-путей 1.
100000001236706100,consolidator,0.648940,13,0.718453,Признаки консолидации. Вход 3: 142700.00 KZT; выход 2: 36000.00 KZT; seed-путей 5.
100000001049200100,coordinator,0.550000,19,0.716682,Структурный кандидат на координацию. Вход 2: 76624.00 KZT; выход 4: 36000.00 KZT; seed-путей 3.
100000002175422100,distributor,0.547723,31,0.714856,Признаки распределения. Вход 3: 68500.00 KZT; выход 6: 1621188.00 KZT; seed-путей 2.
100000005242320100,distributor,0.998271,14,0.713907,Признаки распределения. Вход 2: 365700.00 KZT; выход 21: 8936295.00 KZT; seed-путей 2.
100000003004487100,consolidator,0.616863,31,0.713132,Признаки консолидации. Вход 4: 183702.80 KZT; выход 2: 265015.00 KZT; seed-путей 2.
100000008172352100,consolidator,0.525028,32,0.713040,Признаки консолидации. Вход 3: 90265.00 KZT; выход 7: 289510.00 KZT; seed-путей 2.
100000003854444100,distributor,0.799827,19,0.712387,Признаки распределения. Вход 1: 210000.00 KZT; выход 14: 2322909.00 KZT; seed-путей 1.
100000003946524100,transit,0.636104,3,0.711952,Признаки транзита. Вход 2: 133757.00 KZT; выход 2: 144750.00 KZT; seed-путей 4.
100000002217161100,distributor,0.556398,34,0.710589,Признаки распределения. Вход 2: 404750.00 KZT; выход 7: 995132.00 KZT; seed-путей 2.
