rank,gid,role,priority_score,why
1,100000008346837100,consolidator,0.937038,"Признаки консолидации: 9 плательщиков, 25 получателей; вход 254359.00 KZT, выход 1258643.00 KZT; выход/вход 494.8% (наблюдаемый срез). Достижим от 6 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
2,100000003684369100,consolidator,0.923032,"Признаки консолидации: 24 плательщиков, 62 получателей; вход 3848436.00 KZT, выход 8588655.00 KZT; выход/вход 223.2% (наблюдаемый срез). Достижим от 6 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Seed: входящие из-за границ выборки неполны. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
3,100000008165763100,consolidator,0.914831,"Признаки консолидации: 15 плательщиков, 17 получателей; вход 1165815.00 KZT, выход 1267858.00 KZT; выход/вход 108.8% (наблюдаемый срез). Достижим от 6 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
4,100000008603629100,consolidator,0.900893,"Признаки консолидации: 19 плательщиков, 61 получателей; вход 1817300.00 KZT, выход 4986156.00 KZT; выход/вход 274.4% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
5,100000008710791100,distributor,0.898815,"Признаки распределения: 3 плательщиков, 23 получателей; вход 181510.00 KZT, выход 5521511.00 KZT; выход/вход 3042.0% (наблюдаемый срез). Достижим от 5 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
6,100000003115284100,consolidator,0.896951,"Признаки консолидации: 8 плательщиков, 2 получателей; вход 2160500.00 KZT, выход 517000.00 KZT; выход/вход 23.9% (наблюдаемый срез). Достижим от 9 seed. Это отношение потоков, не остаток и не трассировка тех же денег."
7,100000000331309100,distributor,0.891791,"Признаки распределения: 5 плательщиков, 99 получателей; вход 984635.00 KZT, выход 23001375.00 KZT; выход/вход 2336.0% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
8,100000005910114100,distributor,0.889248,"Признаки распределения: 3 плательщиков, 19 получателей; вход 326144.00 KZT, выход 1469993.00 KZT; выход/вход 450.7% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
9,100000008512827100,distributor,0.886795,"Признаки распределения: 3 плательщиков, 10 получателей; вход 107949.00 KZT, выход 1944500.00 KZT; выход/вход 1801.3% (наблюдаемый срез). Достижим от 5 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
10,100000007908818100,consolidator,0.886380,"Признаки консолидации: 4 плательщиков, 6 получателей; вход 727475.00 KZT, выход 302000.00 KZT; выход/вход 41.5% (наблюдаемый срез). Достижим от 8 seed. Это отношение потоков, не остаток и не трассировка тех же денег."
11,100000001530983100,consolidator,0.874818,"Признаки консолидации: 4 плательщиков, 11 получателей; вход 564158.00 KZT, выход 1829538.00 KZT; выход/вход 324.3% (наблюдаемый срез). Достижим от 5 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
12,100000000343175100,distributor,0.873713,"Признаки распределения: 8 плательщиков, 31 получателей; вход 178712.00 KZT, выход 4000039.00 KZT; выход/вход 2238.3% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Seed: входящие из-за границ выборки неполны. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
13,100000000437046100,distributor,0.872789,"Признаки распределения: 9 плательщиков, 42 получателей; вход 1107200.00 KZT, выход 7606224.00 KZT; выход/вход 687.0% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
14,100000005527892100,coordinator,0.871598,"Структурный кандидат на координацию: 3 плательщиков, 8 получателей; вход 220001.00 KZT, выход 552419.00 KZT; выход/вход 251.1% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
15,100000008743913100,distributor,0.870159,"Признаки распределения: 3 плательщиков, 13 получателей; вход 149300.00 KZT, выход 1850600.00 KZT; выход/вход 1239.5% (наблюдаемый срез). Достижим от 6 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
16,100000002957787100,distributor,0.868555,"Признаки распределения: 4 плательщиков, 34 получателей; вход 84956.00 KZT, выход 1276153.96 KZT; выход/вход 1502.1% (наблюдаемый срез). Достижим от 4 seed. Это отношение потоков, не остаток и не трассировка тех же денег. Наблюдаемый выход больше входа; неизвестны внешние поступления и начальный остаток."
